Model,Classification Type,N-shot,Accuracy,Neg Precision,Neg Recall,COVID-19 Precision,COVID-19 Recall,,,,,,,,,,
1,2 classes,5,0.942,0.9562,0.938,0.9486,0.946,,,,,,,,,,
,,10,0.959,0.9679,0.953,0.958,0.965,,,,,,,,,,
,,20,0.9617,0.9605,0.9652,0.967,0.9582,,,,,,,,,,
,,30,0.9719,0.9733,0.9715,0.9726,0.9723,,,,,,,,,,
,,40,0.9668,0.9719,0.9621,0.9635,0.9714,,,,,,,,,,
,,50,0.9705,0.9709,0.9707,0.9712,0.9704,,,,,,,,,,
,,75,0.9735,0.9734,0.974,0.9744,0.973,,,,,,,,,,
,,100,0.9758,0.9758,0.9761,0.9764,0.9755,,,,,,,,,,
,,150,0.9761,0.9742,0.9783,0.9784,0.9739,,,,,,,,,,
,,200,0.9766,0.9779,0.9753,0.9755,0.9779,,,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,,,
1,3 classes,5,0.957,0.9623,0.967,0.9701,0.953,0.9606,0.951,,,,,,,,
,,10,0.9705,0.97,0.9785,0.9815,0.961,0.9673,0.972,,,,,,,,
,,20,0.9806,0.9787,0.9887,0.9851,0.9747,0.9809,0.9782,,,,,,,,
,,30,0.9834,0.9813,0.9935,0.9857,0.979,0.9846,0.9777,,,,,,,,
,,40,0.9843,0.9803,0.9909,0.9888,0.9784,0.985,0.9837,,,,,,,,
,,50,0.9852,0.9821,0.9918,0.9897,0.9797,0.9847,0.9841,,,,,,,,
,,75,0.9866,0.9845,0.9918,0.989,0.9837,0.9868,0.9843,,,,,,,,
,,100,0.9867,0.9865,0.9915,0.9906,0.9832,0.9833,0.9853,,,,,,,,
,,150,0.9882,0.9871,0.9918,0.9912,0.9854,0.9865,0.9875,,,,,,,,
,,200,0.9874,0.9851,0.9906,0.9927,0.9833,0.9847,0.9883,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Other Precision,Other Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,
1,4 classes,5,0.8627,0.8738,0.896,0.8274,0.809,0.9031,0.875,0.9281,0.871,,,,,,
,,10,0.9143,0.9158,0.9455,0.8835,0.855,0.9233,0.915,0.964,0.9415,,,,,,
,,20,0.9237,0.9267,0.9525,0.8994,0.8565,0.9153,0.927,0.9666,0.959,,,,,,
,,30,0.9306,0.9295,0.9647,0.9054,0.8645,0.9249,0.9315,0.9705,0.9617,,,,,,
,,40,0.9322,0.937,0.9636,0.9033,0.8768,0.9283,0.9254,0.966,0.9632,,,,,,
,,50,0.9345,0.9356,0.962,0.8953,0.893,0.9374,0.9174,0.9749,0.9658,,,,,,
,,75,0.9378,0.9373,0.9684,0.9062,0.891,0.9383,0.9229,0.9724,0.9691,,,,,,
,,100,0.9385,0.9411,0.9631,0.9106,0.8834,0.9299,0.937,0.9742,0.9704,,,,,,
,,150,0.9433,0.9432,0.9681,0.9151,0.902,0.9433,0.9315,0.9731,0.9717,,,,,,
,,200,0.9409,0.9444,0.9645,0.918,0.8886,0.932,0.9378,0.9696,0.9727,,,,,,
Model,Classification Type,N-shot,Accuracy,Neg Precision,Neg Recall,COVID-19 Precision,COVID-19 Recall,,,,,,,,,,
2,2 classes,5,0.993,0.9958,0.991,0.9925,0.995,,,,,,,,,,
,,10,0.9897,0.9952,0.985,0.9864,0.9945,,,,,,,,,,
,,20,0.9986,0.9974,1,1,0.9972,,,,,,,,,,
,,30,0.9993,0.999,0.9997,0.9997,0.999,,,,,,,,,,
,,40,0.9993,0.9991,0.9995,0.9995,0.9991,,,,,,,,,,
,,50,0.9998,0.9997,0.9999,0.9999,0.9997,,,,,,,,,,
,,75,1,1,1,1,1,,,,,,,,,,
,,100,1,1,1,1,1,,,,,,,,,,
,,150,1,1,1,1,1,,,,,,,,,,
,,200,1,1,1,1,1,,,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,,,
2,3 classes,5,0.9987,0.9983,1,0.9992,0.999,0.9992,0.997,,,,,,,,
,,10,0.9947,0.9986,0.993,1,0.992,0.9868,0.999,,,,,,,,
,,20,0.9997,0.9995,1,1,0.9997,0.9998,0.9995,,,,,,,,
,,30,0.9999,0.9998,1,1,0.9998,1,1,,,,,,,,
,,40,1,1,1,1,1,1,1,,,,,,,,
,,50,1,1,1,1,1,1,1,,,,,,,,
,,75,1,1,1,1,1,1,1,,,,,,,,
,,100,1,1,1,1,1,1,1,,,,,,,,
,,150,1,1,1,1,1,1,1,,,,,,,,
,,200,1,1,1,1,1,1,1,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Other Precision,Other Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,
2,4 classes,5,0.9817,0.9975,1,0.9838,0.948,0.962,0.982,0.9975,0.997,,,,,,
,,10,0.9816,0.9928,0.993,0.9849,0.9545,0.9589,0.9915,0.9977,0.9875,,,,,,
,,20,0.9853,0.9939,0.9947,0.9678,0.9797,0.985,0.9702,0.9983,0.9965,,,,,,
,,30,0.9874,0.9995,0.9982,0.9944,0.9572,0.9605,0.9943,0.9979,0.9998,,,,,,
,,40,0.9863,0.9991,0.9996,0.9973,0.9477,0.9527,0.998,0.9991,0.9997,,,,,,
,,50,0.9891,1,1,0.9671,0.9908,0.991,0.9656,1,1,,,,,,
,,75,0.9884,1,1,0.997,0.9566,0.9589,0.9969,1,1,,,,,,
,,100,0.9897,1,1,0.9609,1,0.9999,0.9589,1,1,,,,,,
,,150,0.9887,1,1,1,0.9548,0.957,1,1,1,,,,,,
,,200,0.9893,1,1,0.9975,0.9595,0.9612,0.9976,1,1,,,,,,
Model,Classification Type,N-shot,Accuracy,Neg Precision,Neg Recall,COVID-19 Precision,COVID-19 Recall,,,,,,,,,,
3,2 classes,5,0.9525,0.9642,0.949,0.957,0.956,,,,,,,,,,
,,10,0.9792,0.9851,0.975,0.9779,0.9835,,,,,,,,,,
,,20,0.9867,0.9847,0.9897,0.9897,0.9837,,,,,,,,,,
,,30,0.9915,0.9893,0.9942,0.9944,0.9888,,,,,,,,,,
,,40,0.9921,0.9914,0.9931,0.9933,0.9911,,,,,,,,,,
,,50,0.9943,0.9954,0.9933,0.9934,0.9953,,,,,,,,,,
,,75,0.9954,0.9957,0.9951,0.9952,0.9956,,,,,,,,,,
,,100,0.9963,0.9962,0.9964,0.9964,0.9962,,,,,,,,,,
,,150,0.9956,0.9946,0.9967,0.9967,0.9945,,,,,,,,,,
,,200,0.9955,0.9948,0.9966,0.9966,0.9944,,,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,,,
3,3 classes,5,0.9945,0.9778,0.947,0.9796,0.977,0.9508,0.966,,,,,,,,
,,10,0.9865,0.9905,0.9835,0.9883,0.9925,0.9844,0.9835,,,,,,,,
,,20,0.9927,0.9926,0.9942,0.9948,0.994,0.9917,0.9897,,,,,,,,
,,30,0.9961,0.9956,0.9975,0.9958,0.998,0.9971,0.9927,,,,,,,,
,,40,0.9955,0.9963,0.9949,0.9963,0.998,0.9942,0.9936,,,,,,,,
,,50,0.9962,0.9955,0.9952,0.9994,0.9973,0.9941,0.9962,,,,,,,,
,,75,0.9978,0.9967,0.998,0.9995,0.9982,0.9972,0.9971,,,,,,,,
,,100,0.9977,0.9981,0.9967,0.9979,0.9988,0.997,0.9975,,,,,,,,
,,150,0.9974,0.9972,0.9955,0.9996,0.9987,0.9954,0.998,,,,,,,,
,,200,0.9984,0.9988,0.9965,0.9987,0.9994,0.9976,0.9991,,,,,,,,
3,4 classes,,Accuracy,Normal Precision,Normal Recall,Other Precision,Other Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,
,,5,0.9392,0.9613,0.951,0.9228,0.908,0.9478,0.944,0.964,0.954,,,,,,
,,10,0.9577,0.9756,0.982,0.9608,0.908,0.9293,0.9655,0.9829,0.9755,,,,,,
,,20,0.9751,0.9872,0.9895,0.9804,0.933,0.9465,0.989,0.9914,0.9887,,,,,,
,,30,0.9767,0.9879,0.9905,0.9713,0.9472,0.9571,0.9773,0.9935,0.9917,,,,,,
,,40,0.9795,0.9872,0.9914,0.9562,0.9755,0.9841,0.9594,0.9931,0.9917,,,,,,
,,50,0.9786,0.9896,0.9932,0.9757,0.9477,0.9568,0.98,0.9941,0.9934,,,,,,
,,75,0.9813,0.9906,0.9954,0.9792,0.9527,0.9618,0.9815,0.9947,0.9955,,,,,,
,,100,0.9815,0.9933,0.9919,0.9753,0.9575,0.965,0.9796,0.9931,0.9969,,,,,,
,,150,0.9832,0.9941,0.995,0.9666,0.9728,0.9769,0.969,0.9958,0.9961,,,,,,
,,200,0.9836,0.9954,0.9957,0.9865,0.9529,0.9581,0.9885,0.9958,0.9975,,,,,,
Model,Classification Type,N-shot,Accuracy,Neg Precision,Neg Recall,COVID-19 Precision,COVID-19 Recall,,,,,,,,,,
4,2 classes,5,0.9965,0.9975,0.996,0.9967,0.997,,,,,,,,,,
,,10,0.985,0.988,0.983,0.9846,0.987,,,,,,,,,,
,,20,0.9967,0.995,0.9987,0.9988,0.9947,,,,,,,,,,
,,30,0.9983,0.9987,0.998,0.9981,0.9987,,,,,,,,,,
,,40,0.9996,0.9993,0.9999,0.9999,0.9992,,,,,,,,,,
,,50,0.9995,0.9996,0.9994,0.9994,0.9996,,,,,,,,,,
,,75,1,1,0.9999,0.9999,1,,,,,,,,,,
,,100,0.9999,1,0.9999,0.9999,1,,,,,,,,,,
,,150,0.9998,0.9998,0.9998,0.9998,0.9998,,,,,,,,,,
,,200,0.9998,0.9998,0.9999,0.9999,0.9999,,,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,,,
4,3 classes,5,0.9947,0.995,0.997,0.9975,0.993,0.9942,0.994,,,,,,,,
,,10,0.9983,0.9982,0.9995,0.9991,0.9985,0.9982,0.997,,,,,,,,
,,20,0.9995,0.9998,0.9992,0.9998,0.9995,0.999,0.9997,,,,,,,,
,,30,0.9999,0.9998,1,1,1,1,0.9998,,,,,,,,
,,40,0.9995,0.9999,0.9995,0.9985,1,1,0.9989,,,,,,,,
,,50,0.9995,0.9989,0.9999,1,0.9996,0.9997,0.9991,,,,,,,,
,,75,1,1,1,1,1,1,1,,,,,,,,
,,100,1,1,1,1,1,1,1,,,,,,,,
,,150,1,1,1,1,1,1,1,,,,,,,,
,,200,1,1,1,1,1,1,1,,,,,,,,
,,,Accuracy,Normal Precision,Normal Recall,Other Precision,Other Recall,Pneumonia Precision,Pneumonia Recall,COVID Precision,COVID Recall,,,,,,
4,4 classes,5,0.985,0.9992,0.994,0.9848,0.969,0.9739,0.984,0.9917,0.993,,,,,,
,,10,0.9839,0.9955,1,0.9648,0.977,0.9833,0.9615,0.9973,0.997,,,,,,
,,20,0.9905,1,0.9997,0.968,0.997,0.9968,0.9655,0.9998,0.9997,,,,,,
,,30,0.9848,0.9933,0.9978,0.9663,0.9837,0.9842,0.9633,0.9981,0.9943,,,,,,
,,40,0.9888,1,0.9999,0.9911,0.9644,0.9662,0.991,0.9999,1,,,,,,
,,50,0.9879,1,1,0.995,0.9566,0.9589,0.995,1,1,,,,,,
,,75,0.9887,0.9999,1,0.9988,0.956,0.9585,0.9989,1,0.9999,,,,,,
,,100,0.9902,1,1,0.9831,0.9779,0.9783,0.983,1,1,,,,,,
,,150,0.9909,1,1,0.9833,0.9803,0.9805,0.9832,1,1,,,,,,
,,200,0.991,1,1,0.9835,0.9804,0.981,0.983,1,1,,,,,,