Model,Shots,Accuracy,COVID-19 Precision,COVID-19 Recall
1,5,0.8627,0.9281,0.871
1,10,0.9143,0.964,0.9415
1,20,0.9237,0.9666,0.959
1,30,0.9306,0.9705,0.9617
1,40,0.9322,0.966,0.9632
1,50,0.9345,0.9749,0.9658
1,75,0.9378,0.9724,0.9691
1,100,0.9385,0.9742,0.9704
1,150,0.9433,0.9731,0.9717
1,200,0.9409,0.9696,0.9727
4,5,0.985,0.9917,0.993
4,10,0.9839,0.9973,0.997
4,20,0.9905,0.9998,0.9997
4,30,0.9848,0.9981,0.9943
4,40,0.9888,0.9999,1
4,50,0.9879,1,1
4,75,0.9887,1,0.9999
4,100,0.9902,1,1
4,150,0.9909,1,1
4,200,0.991,1,1